,Decision_0,Decision_1,Hand_0,Hand_1,Hand_2,Pull_0,Pull_1,solver_ev_0,solver_ev_1,solver_ev_2,solver_ev_3,solver_ev_4,solver_ev_5,solver_ev_6,solver_ev_7,solver_ev_8,solver_ev_9,solver_ev_avg,ResolvedDecision_0,ResolvedDecision_ev_0,ResolvedDecision_1,ResolvedDecision_ev_1
885,Jc bot Js bot,3d mid 6s bot,KdKhAh-AdAc-,KdKhAh-AdAc-JcJs,KdKhAh-AdAc3d-JcJs6s,Jc 5s Js ,3d 6s 7s ,29.0,23.0,23.0,23.0,23.0,23.0,29.0,0.0,23.0,23.0,21.0,Jc bot Js bot,0.0,3d bot 7s mid,0.04166666666666785
886,9h bot Th bot,2c mid Qs bot,KdKhAh-AdAc-,KdKhAh-AdAc-9hTh,KdKhAh-AdAc2c-9hThQs,4c 9h Th ,2c 5h Qs ,0.0,23.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,9.0,9h bot Th bot,0.0,2c mid 5h bot,1.556333333333333
887,Td bot 9h bot,3d bot 9s bot,KdKhAh-AdAc-,KdKhAh-AdAc-Td9h,KdKhAh-AdAc-Td9h3d9s,Td 5c 9h ,3d 7d 9s ,23.0,23.0,23.0,0.0,23.0,23.0,0.0,23.0,23.0,0.0,16.0,Td bot 9h bot,0.0,3d mid 9s bot,0.711333333333334
888,6s bot Ts bot,3d mid 9c mid,KdKhAh-AdAc-,KdKhAh-AdAc-6sTs,KdKhAh-AdAc3d9c-6sTs,Qh 6s Ts ,3d 5d 9c ,0.0,23.0,0.0,0.0,27.0,23.0,0.0,0.0,0.0,0.0,7.0,6s bot Ts bot,0.0,3d mid 9c bot,0.613666666666667
889,8c bot Js bot,Jd bot 3h mid,KdKhAh-AdAc-,KdKhAh-AdAc-8cJs,KdKhAh-AdAc3h-8cJsJd,8c Kc Js ,Jd 2h 3h ,0.0,23.0,23.0,23.0,23.0,23.0,29.0,23.0,23.0,23.0,21.0,8c bot Js bot,0.0,Jd bot 3h mid,0.0
890,3c bot 7c bot,4d mid 5d mid,KdKhAh-AdAc-,KdKhAh-AdAc-3c7c,KdKhAh-AdAc4d5d-3c7c,8d 3c 7c ,4d 5d 6d ,0.0,0.0,23.0,38.0,27.0,0.0,0.0,0.0,23.0,0.0,11.0,3c bot 7c bot,0.0,4d bot 5d bot,1.185666666666668
891,Qd mid 9c bot,3c bot 9h bot,KdKhAh-AdAc-,KdKhAh-AdAcQd-9c,KdKhAh-AdAcQd-9c3c9h,Qd 9c 2h ,3c 9h Qh ,23.0,0.0,23.0,23.0,23.0,23.0,29.0,23.0,23.0,23.0,21.0,Qd bot 9c bot,0.8773333333333344,3c bot 9h bot,0.0
892,4c bot 9c bot,2c bot 5c bot,KdKhAh-AdAc-,KdKhAh-AdAc-4c9c,KdKhAh-AdAc-4c9c2c5c,4c 9c 3h ,2c 5c Qs ,0.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,21.0,4c bot 9c bot,0.0,2c bot 5c bot,0.0
893,9s bot Qs bot,3h mid 6h mid,KdKhAh-AdAc-,KdKhAh-AdAc-9sQs,KdKhAh-AdAc3h6h-9sQs,4h 9s Qs ,5d 3h 6h ,0.0,0.0,0.0,23.0,23.0,0.0,23.0,23.0,27.0,23.0,14.0,9s bot Qs bot,0.0,5d mid 6h mid,0.005666666666666487
894,6c bot Kc mid,5c bot 3s bot,KdKhAh-AdAc-,KdKhAh-AdAcKc-6c,KdKhAh-AdAcKc-6c5c3s,Td 6c Kc ,8d 5c 3s ,0.0,0.0,23.0,23.0,23.0,25.0,0.0,25.0,25.0,0.0,14.0,Td bot 6c bot,0.42799999999999905,5c bot 3s bot,0.0
895,4d bot 4s bot,9c bot 9h bot,KdKhAh-AdAc-,KdKhAh-AdAc-4d4s,KdKhAh-AdAc-4d4s9c9h,4d 4s 8s ,9c 9h Th ,31.0,23.0,29.0,29.0,23.0,23.0,29.0,29.0,29.0,29.0,27.0,4d bot 4s bot,0.0,9c bot 9h bot,0.0
