,Decision_0,Decision_1,Hand_0,Hand_1,Hand_2,Pull_0,Pull_1,solver_ev_0,solver_ev_1,solver_ev_2,solver_ev_3,solver_ev_4,solver_ev_5,solver_ev_6,solver_ev_7,solver_ev_8,solver_ev_9,solver_ev_avg,ResolvedDecision_0,ResolvedDecision_ev_0,ResolvedDecision_1,ResolvedDecision_ev_1
0,4h mid 4s mid,9d mid 2h bot,KdKh--AdAcAh,KdKh-4h4s-AdAcAh,KdKh-4h4s9d-AdAcAh2h,4h 4s Ks ,9d 2h 7s ,29.0,29.0,29.0,33.0,31.0,33.0,0.0,23.0,29.0,45.0,28.0,4h mid 4s mid,0.0,2h bot 7s mid,0.3933333333333344
1,Jd mid Ts mid,2d mid Qd bot,KdKh--AdAcAh,KdKh-JdTs-AdAcAh,KdKh-JdTs2d-AdAcAhQd,Jd 8c Ts ,2d 6d Qd ,25.0,23.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Jd mid Ts mid,0.0,6d bot Qd mid,0.5560000000000009
2,6h mid 4s mid,4d mid As bot,KdKh--AdAcAh,KdKh-6h4s-AdAcAh,KdKh-6h4s4d-AdAcAhAs,6h 4s Ks ,4d 2h As ,33.0,35.0,35.0,33.0,0.0,0.0,35.0,0.0,33.0,45.0,24.0,6h mid 4s mid,0.0,4d mid As bot,0.0
3,3d mid 3c mid,4c mid 5c bot,KdKh--AdAcAh,KdKh-3d3c-AdAcAh,KdKh-3d3c4c-AdAcAh5c,3d Td 3c ,4c 5c Kc ,25.0,23.0,0.0,23.0,23.0,0.0,23.0,23.0,25.0,23.0,18.0,3d mid 3c mid,0.0,4c bot 5c mid,0.04200000000000159
4,8c mid 3h bot,5s mid 8s mid,KdKh--AdAcAh,KdKh-8c-AdAcAh3h,KdKh-8c5s8s-AdAcAh3h,8c Kc 3h ,2c 5s 8s ,25.0,25.0,33.0,41.0,23.0,23.0,23.0,23.0,29.0,25.0,27.0,8c mid 3h mid,0.863999999999999,2c mid 8s mid,0.10933333333333195
5,8d mid 8s mid,4d bot 2c mid,KdKh--AdAcAh,KdKh-8d8s-AdAcAh,KdKh-8d8s2c-AdAcAh4d,8d 4h 8s ,4d 2c 6c ,29.0,23.0,29.0,33.0,23.0,33.0,31.0,23.0,23.0,23.0,27.0,8d mid 8s mid,0.0,4d mid 6c mid,0.07833333333333314
6,7s mid Qs mid,Jc bot 5h mid,KdKh--AdAcAh,KdKh-7sQs-AdAcAh,KdKh-7sQs5h-AdAcAhJc,Th 7s Qs ,9c Jc 5h ,0.0,0.0,0.0,0.0,25.0,0.0,0.0,23.0,31.0,25.0,10.0,7s mid Qs mid,0.0,9c bot Jc mid,0.13766666666666616
7,2h mid Jh mid,3d top 5s bot,KdKh--AdAcAh,KdKh-2hJh-AdAcAh,KdKh3d-2hJh-AdAcAh5s,2h 6h Jh ,3d Qd 5s ,25.0,0.0,0.0,25.0,33.0,25.0,23.0,0.0,23.0,23.0,17.0,2h mid Jh mid,0.0,3d top 5s mid,1.6356666666666673
8,6c mid Kc mid,7d top Th bot,KdKh--AdAcAh,KdKh-6cKc-AdAcAh,KdKh7d-6cKc-AdAcAhTh,3d 6c Kc ,7d 4h Th ,23.0,0.0,0.0,0.0,23.0,23.0,29.0,0.0,0.0,29.0,12.0,3d mid 6c mid,2.6206666666666667,7d bot 4h mid,0.724333333333333
9,7h mid Ts mid,3h top 7s mid,KdKh--AdAcAh,KdKh-7hTs-AdAcAh,KdKh3h-7hTs7s-AdAcAh,9c 7h Ts ,6c 3h 7s ,0.0,23.0,23.0,23.0,23.0,0.0,33.0,23.0,31.0,23.0,20.0,9c mid Ts mid,0.4666666666666668,6c mid 7s mid,0.5383333333333304
10,3c mid Kc mid,7c mid As bot,KdKh--AdAcAh,KdKh-3cKc-AdAcAh,KdKh-3cKc7c-AdAcAhAs,3c Kc Js ,7c 9s As ,0.0,0.0,0.0,41.0,0.0,41.0,0.0,0.0,41.0,0.0,12.0,3c mid Js mid,1.6726666666666663,7c mid As bot,0.0
11,3h mid 6h mid,8h mid 8s mid,KdKh--AdAcAh,KdKh-3h6h-AdAcAh,KdKh-3h6h8h8s-AdAcAh,Qd 3h 6h ,8h 7s 8s ,25.0,33.0,0.0,25.0,35.0,29.0,0.0,0.0,29.0,31.0,20.0,3h mid 6h mid,0.0,8h mid 8s mid,0.0
12,Td mid As bot,Ts mid Ks mid,KdKh--AdAcAh,KdKh-Td-AdAcAhAs,KdKh-TdTsKs-AdAcAhAs,Td 2h As ,7h Ts Ks ,0.0,33.0,33.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,10.0,Td mid As bot,0.0,7h mid Ts mid,4.5696666666666665
13,Qd mid 9c mid,6h mid Ts bot,KdKh--AdAcAh,KdKh-Qd9c-AdAcAh,KdKh-Qd9c6h-AdAcAhTs,4d Qd 9c ,6h Ts Ks ,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4d mid Qd mid,0.03133333333333432,6h bot Ts mid,0.6103333333333332
14,8s mid 9s mid,2s mid 3s mid,KdKh--AdAcAh,KdKh-8s9s-AdAcAh,KdKh-8s9s2s3s-AdAcAh,3h 8s 9s ,Jd 2s 3s ,0.0,0.0,0.0,0.0,37.0,0.0,41.0,0.0,0.0,0.0,7.0,8s mid 9s mid,0.0,2s bot 3s mid,10.734666666666667
15,6d mid Qh mid,7h bot Js top,KdKh--AdAcAh,KdKh-6dQh-AdAcAh,KdKhJs-6dQh-AdAcAh7h,6d Th Qh ,3h 7h Js ,25.0,25.0,0.0,0.0,0.0,33.0,0.0,29.0,25.0,0.0,13.0,Th mid Qh mid,0.7860000000000014,3h mid Js bot,1.3466666666666676
16,Qc mid Qs mid,2c top 6s mid,KdKh--AdAcAh,KdKh-QcQs-AdAcAh,KdKh2c-QcQs6s-AdAcAh,7c Qc Qs ,8d 2c 6s ,0.0,23.0,0.0,29.0,0.0,33.0,23.0,33.0,25.0,23.0,18.0,Qc mid Qs mid,0.0,2c bot 6s mid,0.32266666666666666
17,3d mid 3s mid,5d top 9h mid,KdKh--AdAcAh,KdKh-3d3s-AdAcAh,KdKh5d-3d3s9h-AdAcAh,3d 6d 3s ,5d 9h 7s ,0.0,23.0,23.0,0.0,29.0,23.0,23.0,0.0,33.0,23.0,17.0,3d mid 3s mid,0.0,9h mid 7s bot,0.4009999999999998
18,4c mid 6s bot,4d mid 9c mid,KdKh--AdAcAh,KdKh-4c-AdAcAh6s,KdKh-4c4d9c-AdAcAh6s,4c 2h 6s ,4d 9c Qc ,0.0,23.0,0.0,31.0,23.0,31.0,0.0,23.0,23.0,23.0,17.0,4c mid 6s mid,2.1913333333333327,4d mid Qc mid,0.01699999999999946
19,7d mid Qd mid,3d mid Jh bot,KdKh--AdAcAh,KdKh-7dQd-AdAcAh,KdKh-7dQd3d-AdAcAhJh,7d Qd 4s ,3d Jh Ts ,37.0,0.0,25.0,0.0,29.0,23.0,23.0,23.0,0.0,0.0,16.0,7d mid Qd mid,0.0,3d mid Jh bot,0.0
20,7d mid Td mid,6c bot Qh bot,KdKh--AdAcAh,KdKh-7dTd-AdAcAh,KdKh-7dTd-AdAcAh6cQh,7d Td 9c ,5c 6c Qh ,23.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,25.0,7.0,7d mid Td mid,0.0,6c mid Qh bot,9.646666666666667
21,Td mid As bot,8h bot Js mid,KdKh--AdAcAh,KdKh-Td-AdAcAhAs,KdKh-TdJs-AdAcAhAs8h,Td 9c As ,8h Js Ks ,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,33.0,35.0,10.0,9c mid As bot,1.206666666666667,8h mid Js mid,5.6513333333333335
22,2h mid 4s mid,8d mid 8s mid,KdKh--AdAcAh,KdKh-2h4s-AdAcAh,KdKh-2h4s8d8s-AdAcAh,2h 4s 5s ,8d 3h 8s ,23.0,23.0,0.0,0.0,0.0,31.0,23.0,29.0,0.0,23.0,15.0,4s mid 5s mid,0.9713333333333338,8d mid 8s mid,0.0
23,Ts mid Js mid,8h bot Qs mid,KdKh--AdAcAh,KdKh-TsJs-AdAcAh,KdKh-TsJsQs-AdAcAh8h,6s Ts Js ,8h 3s Qs ,29.0,31.0,23.0,23.0,23.0,23.0,0.0,25.0,23.0,23.0,22.0,Ts mid Js mid,0.0,3s bot Qs mid,0.4510000000000005
24,5c mid 6h mid,6c mid 3s bot,KdKh--AdAcAh,KdKh-5c6h-AdAcAh,KdKh-5c6h6c-AdAcAh3s,5c 6h Ks ,6c 4h 3s ,0.0,41.0,29.0,45.0,29.0,23.0,23.0,0.0,23.0,29.0,24.0,5c mid 6h mid,0.0,6c mid 3s mid,0.026333333333333542
25,Tc mid Th mid,7d mid 2c top,KdKh--AdAcAh,KdKh-TcTh-AdAcAh,KdKh2c-TcTh7d-AdAcAh,Tc Th Ks ,7d 2c Js ,33.0,23.0,33.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,18.0,Tc mid Th mid,0.0,7d mid Js mid,18.528666666666666
26,5h mid 7h mid,4d mid Qc bot,KdKh--AdAcAh,KdKh-5h7h-AdAcAh,KdKh-5h7h4d-AdAcAhQc,5h 7h 4s ,4d 6c Qc ,0.0,0.0,0.0,29.0,0.0,29.0,23.0,0.0,29.0,29.0,13.0,5h mid 7h mid,0.0,6c mid Qc bot,0.2846666666666664
27,2c mid 2h mid,9c mid 9h mid,KdKh--AdAcAh,KdKh-2c2h-AdAcAh,KdKh-2c2h9c9h-AdAcAh,2c 2h 5s ,9c 5h 9h ,23.0,29.0,23.0,23.0,23.0,23.0,45.0,23.0,29.0,29.0,27.0,2c mid 2h mid,0.0,9c mid 9h mid,0.0
28,9s mid Js mid,5s bot 8s mid,KdKh--AdAcAh,KdKh-9sJs-AdAcAh,KdKh-9sJs8s-AdAcAh5s,3d 9s Js ,6c 5s 8s ,0.0,29.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,31.0,8.0,9s mid Js mid,0.0,5s bot 8s mid,0.0
29,Th mid 2s mid,5d mid 5s mid,KdKh--AdAcAh,KdKh-Th2s-AdAcAh,KdKh-Th2s5d5s-AdAcAh,6d Th 2s ,5d 3h 5s ,23.0,0.0,23.0,23.0,29.0,25.0,23.0,0.0,0.0,0.0,14.0,6d mid 2s mid,0.04400000000000048,5d mid 5s mid,0.0
30,5d mid 8h mid,8c mid 5s mid,KdKh--AdAcAh,KdKh-5d8h-AdAcAh,KdKh-5d8h8c5s-AdAcAh,5d 2c 8h ,8c 3h 5s ,41.0,33.0,23.0,33.0,33.0,23.0,29.0,29.0,64.0,64.0,37.0,5d mid 8h mid,0.0,8c mid 5s mid,0.0
31,9d mid 8s mid,7d top 8d mid,KdKh--AdAcAh,KdKh-9d8s-AdAcAh,KdKh7d-9d8s8d-AdAcAh,9d 3c 8s ,7d 8d Jc ,29.0,29.0,41.0,0.0,29.0,0.0,23.0,0.0,25.0,0.0,17.0,9d mid 8s mid,0.0,7d mid 8d mid,0.2203333333333326
32,4s mid As bot,4d mid 5d mid,KdKh--AdAcAh,KdKh-4s-AdAcAhAs,KdKh-4s4d5d-AdAcAhAs,Td 4s As ,4d 5d Tc ,35.0,45.0,33.0,33.0,45.0,33.0,33.0,33.0,35.0,33.0,35.0,4s mid As bot,0.0,4d mid 5d mid,0.0
33,8d mid Js mid,6h bot Jh mid,KdKh--AdAcAh,KdKh-8dJs-AdAcAh,KdKh-8dJsJh-AdAcAh6h,8d Js Ks ,6h Jh Qs ,0.0,23.0,23.0,0.0,25.0,23.0,25.0,0.0,45.0,23.0,18.0,8d mid Js mid,0.0,Jh mid Qs bot,0.03166666666666984
34,Qc mid 9h mid,8d bot 6s mid,KdKh--AdAcAh,KdKh-Qc9h-AdAcAh,KdKh-Qc9h6s-AdAcAh8d,7c Qc 9h ,8d 7h 6s ,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,35.0,0.0,5.0,7c mid Qc mid,0.29066666666666663,8d mid 6s bot,0.5613333333333337
35,Qd mid 2h mid,2d mid 5s bot,KdKh--AdAcAh,KdKh-Qd2h-AdAcAh,KdKh-Qd2h2d-AdAcAh5s,Qd 4c 2h ,2d 3h 5s ,23.0,31.0,23.0,23.0,29.0,31.0,29.0,0.0,0.0,0.0,18.0,Qd mid 2h mid,0.0,2d mid 5s mid,0.28866666666666774
36,4h mid 9h mid,5s bot 7s top,KdKh--AdAcAh,KdKh-4h9h-AdAcAh,KdKh7s-4h9h-AdAcAh5s,4h 9h 8s ,3s 5s 7s ,0.0,25.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,25.0,7.0,9h mid 8s mid,0.41999999999999993,3s top 7s mid,1.2279999999999998
37,8h mid Qh mid,4d mid 4s mid,KdKh--AdAcAh,KdKh-8hQh-AdAcAh,KdKh-8hQh4d4s-AdAcAh,4c 8h Qh ,4d 9d 4s ,31.0,23.0,29.0,29.0,23.0,23.0,23.0,0.0,0.0,0.0,18.0,8h mid Qh mid,0.0,4d mid 4s mid,0.0
38,3h mid Qh mid,5h mid 6h top,KdKh--AdAcAh,KdKh-3hQh-AdAcAh,KdKh6h-3hQh5h-AdAcAh,2h 3h Qh ,2d 5h 6h ,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,4.0,2h mid 3h mid,0.20933333333333337,5h bot 6h mid,0.5306666666666668
39,Jh mid 9s mid,3c bot 9h mid,KdKh--AdAcAh,KdKh-Jh9s-AdAcAh,KdKh-Jh9s9h-AdAcAh3c,Jh Qh 9s ,3c 6c 9h ,29.0,29.0,31.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,14.0,Jh mid Qh mid,0.19733333333333292,6c mid 9h mid,0.06599999999999895
40,8d mid 7s mid,Td top 8c mid,KdKh--AdAcAh,KdKh-8d7s-AdAcAh,KdKhTd-8d7s8c-AdAcAh,8d Qd 7s ,2d Td 8c ,23.0,29.0,23.0,25.0,0.0,23.0,0.0,29.0,23.0,0.0,17.0,8d mid Qd mid,0.016000000000000014,Td mid 8c mid,0.789666666666669
41,9d mid Jd mid,Kc mid 4s bot,KdKh--AdAcAh,KdKh-9dJd-AdAcAh,KdKh-9dJdKc-AdAcAh4s,3d 9d Jd ,Kc 5h 4s ,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,23.0,33.0,8.0,9d mid Jd mid,0.0,5h top 4s mid,1.1210000000000004
42,8c mid Jh mid,Qc bot 8h mid,KdKh--AdAcAh,KdKh-8cJh-AdAcAh,KdKh-8cJh8h-AdAcAhQc,6c 8c Jh ,Qc 8h 7s ,23.0,33.0,23.0,31.0,0.0,0.0,0.0,29.0,23.0,29.0,19.0,6c mid 8c mid,0.46333333333333293,Qc bot 8h mid,0.0
43,8d mid 9s mid,9c mid 4s top,KdKh--AdAcAh,KdKh-8d9s-AdAcAh,KdKh4s-8d9s9c-AdAcAh,4d 8d 9s ,9c 7h 4s ,31.0,31.0,23.0,23.0,23.0,23.0,0.0,0.0,23.0,23.0,20.0,8d mid 9s mid,0.0,9c mid 7h bot,0.3789999999999978
44,7d mid Td mid,8c top Ks bot,KdKh--AdAcAh,KdKh-7dTd-AdAcAh,KdKh8c-7dTd-AdAcAhKs,7d Td 3s ,8c Js Ks ,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0,7d mid Td mid,0.0,8c mid Js bot,1.9499999999999993
45,6c mid 7c mid,2d top 7d mid,KdKh--AdAcAh,KdKh-6c7c-AdAcAh,KdKh2d-6c7c7d-AdAcAh,6c 7c Qh ,2d 7d 9d ,23.0,31.0,25.0,29.0,23.0,0.0,25.0,25.0,25.0,0.0,20.0,6c mid 7c mid,0.0,7d mid 9d bot,0.4126666666666665
46,7h mid 7s mid,3c mid Qs bot,KdKh--AdAcAh,KdKh-7h7s-AdAcAh,KdKh-7h7s3c-AdAcAhQs,2h 7h 7s ,3c 2s Qs ,0.0,23.0,29.0,0.0,29.0,0.0,29.0,23.0,23.0,0.0,15.0,7h mid 7s mid,0.0,3c bot Qs mid,0.055333333333333456
47,5c top Ks mid,6c mid Tc bot,KdKh--AdAcAh,KdKh5c-Ks-AdAcAh,KdKh5c-Ks6c-AdAcAhTc,5c 2s Ks ,6c Tc Jh ,0.0,25.0,0.0,0.0,25.0,0.0,23.0,23.0,0.0,0.0,9.0,5c mid 2s mid,3.8046666666666678,Tc mid Jh mid,1.2673333333333332
48,Jd mid 2h mid,3c mid 7s top,KdKh--AdAcAh,KdKh-Jd2h-AdAcAh,KdKh7s-Jd2h3c-AdAcAh,Jd 2h 4s ,3c 9c 7s ,0.0,0.0,0.0,0.0,23.0,25.0,25.0,0.0,0.0,0.0,7.0,2h mid 4s mid,0.08866666666666667,3c mid 9c bot,0.17433333333333323
49,7d mid 7s mid,3c mid 6s bot,KdKh--AdAcAh,KdKh-7d7s-AdAcAh,KdKh-7d7s3c-AdAcAh6s,7d Kc 7s ,3c 8h 6s ,23.0,0.0,0.0,29.0,25.0,23.0,23.0,0.0,25.0,23.0,17.0,7d mid 7s mid,0.0,8h mid 6s bot,0.20233333333333192
50,2d mid 2c mid,Qd mid Qs mid,KdKh--AdAcAh,KdKh-2d2c-AdAcAh,KdKh-2d2cQdQs-AdAcAh,2d 2c Js ,Qd 5h Qs ,29.0,33.0,23.0,23.0,29.0,29.0,29.0,23.0,23.0,29.0,27.0,2d mid 2c mid,0.0,Qd mid Qs mid,0.0
51,2c mid 3s mid,7h mid 7s mid,KdKh--AdAcAh,KdKh-2c3s-AdAcAh,KdKh-2c3s7h7s-AdAcAh,2c 8h 3s ,9c 7h 7s ,23.0,31.0,31.0,25.0,29.0,23.0,0.0,29.0,0.0,0.0,19.0,2c mid 3s mid,0.0,7h mid 7s mid,0.0
52,2h mid 8h mid,7d mid 7s mid,KdKh--AdAcAh,KdKh-2h8h-AdAcAh,KdKh-2h8h7d7s-AdAcAh,2h 8h Ks ,7d 9c 7s ,23.0,0.0,25.0,23.0,23.0,25.0,29.0,25.0,0.0,0.0,17.0,2h mid 8h mid,0.0,7d mid 7s mid,0.0
53,9d mid 8s mid,9c mid 5s bot,KdKh--AdAcAh,KdKh-9d8s-AdAcAh,KdKh-9d8s9c-AdAcAh5s,9d 6s 8s ,9c 4h 5s ,0.0,0.0,23.0,29.0,0.0,29.0,33.0,0.0,23.0,0.0,13.0,6s mid 8s mid,0.5146666666666668,9c mid 4h mid,0.081666666666667
54,6h mid Qs mid,Qd mid Ts top,KdKh--AdAcAh,KdKh-6hQs-AdAcAh,KdKhTs-6hQsQd-AdAcAh,2c 6h Qs ,Qd Ts Ks ,29.0,25.0,0.0,23.0,23.0,23.0,0.0,23.0,23.0,0.0,16.0,2c mid 6h mid,0.4153333333333329,Qd mid Ts mid,0.42666666666666586
55,Kc mid Ks mid,5c mid 6s mid,KdKh--AdAcAh,KdKh-KcKs-AdAcAh,KdKh-KcKs5c6s-AdAcAh,Kc 5s Ks ,5c 6s 7s ,29.0,33.0,23.0,23.0,23.0,29.0,29.0,23.0,33.0,33.0,27.0,Kc mid Ks mid,0.0,5c top 7s bot,26.052
56,8d mid 9s mid,9c mid Js top,KdKh--AdAcAh,KdKh-8d9s-AdAcAh,KdKhJs-8d9s9c-AdAcAh,8d Kc 9s ,5c 9c Js ,0.0,29.0,33.0,23.0,0.0,0.0,0.0,45.0,29.0,0.0,15.0,8d mid 9s mid,0.0,5c mid 9c mid,0.6700000000000017
57,7d mid Kc mid,2c bot Jc mid,KdKh--AdAcAh,KdKh-7dKc-AdAcAh,KdKh-7dKcJc-AdAcAh2c,7d Kc 3s ,2c Jc 3h ,25.0,0.0,23.0,23.0,0.0,0.0,0.0,23.0,25.0,0.0,11.0,7d mid 3s mid,3.3100000000000005,2c mid Jc bot,7.141
58,2c mid 7s mid,7c mid 7h mid,KdKh--AdAcAh,KdKh-2c7s-AdAcAh,KdKh-2c7s7c7h-AdAcAh,2c 3c 7s ,2d 7c 7h ,31.0,31.0,41.0,31.0,31.0,25.0,31.0,31.0,31.0,25.0,30.0,2c mid 3c mid,0.8566666666666674,7c mid 7h mid,0.0
59,2c mid 6c mid,4d top 6h mid,KdKh--AdAcAh,KdKh-2c6c-AdAcAh,KdKh4d-2c6c6h-AdAcAh,2c 6c Qs ,4d Qd 6h ,23.0,23.0,23.0,0.0,25.0,23.0,29.0,25.0,29.0,23.0,22.0,2c mid 6c mid,0.0,4d mid 6h mid,0.527666666666665
60,Jc mid Qs mid,3d bot 9d mid,KdKh--AdAcAh,KdKh-JcQs-AdAcAh,KdKh-JcQs9d-AdAcAh3d,Jc 4h Qs ,3d 9d 6c ,0.0,0.0,25.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Jc mid Qs mid,0.0,9d mid 6c bot,0.009000000000000341
61,3d mid 3c mid,7s bot Js mid,KdKh--AdAcAh,KdKh-3d3c-AdAcAh,KdKh-3d3cJs-AdAcAh7s,3d 3c 8c ,6c 7s Js ,0.0,0.0,23.0,0.0,31.0,0.0,23.0,25.0,33.0,25.0,16.0,3d mid 3c mid,0.0,6c mid 7s mid,0.40333333333333243
62,8c mid 9s mid,3h top 4s bot,KdKh--AdAcAh,KdKh-8c9s-AdAcAh,KdKh3h-8c9s-AdAcAh4s,6c 8c 9s ,Jc 3h 4s ,0.0,0.0,0.0,23.0,0.0,23.0,0.0,29.0,0.0,23.0,9.0,6c mid 8c mid,0.23733333333333206,Jc mid 3h bot,10.016666666666667
63,Tc mid 8h mid,8d mid 8s mid,KdKh--AdAcAh,KdKh-Tc8h-AdAcAh,KdKh-Tc8h8d8s-AdAcAh,Tc 4h 8h ,8d 2c 8s ,25.0,25.0,35.0,31.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,4h mid 8h mid,0.28666666666666707,8d mid 8s mid,0.0
64,4h mid 5s mid,5c mid 8h bot,KdKh--AdAcAh,KdKh-4h5s-AdAcAh,KdKh-4h5s5c-AdAcAh8h,4h 5s 9s ,5c 8h Ks ,0.0,23.0,0.0,23.0,25.0,0.0,41.0,23.0,53.0,23.0,21.0,5s mid 9s mid,0.2433333333333323,5c mid 8h bot,0.0
65,6c mid 8c mid,3h top Jh bot,KdKh--AdAcAh,KdKh-6c8c-AdAcAh,KdKh3h-6c8c-AdAcAhJh,5c 6c 8c ,3h Jh 2s ,0.0,25.0,41.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,11.0,5c mid 6c mid,0.09733333333333327,3h mid Jh bot,9.087333333333333
66,5c mid Qc mid,4c mid 7s bot,KdKh--AdAcAh,KdKh-5cQc-AdAcAh,KdKh-5cQc4c-AdAcAh7s,5c Qc 9h ,4c 6s 7s ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,0.0,4.0,5c mid Qc mid,0.0,4c mid 7s bot,0.0
67,Jd bot Qs mid,6d mid Jh bot,KdKh--AdAcAh,KdKh-Qs-AdAcAhJd,KdKh-Qs6d-AdAcAhJdJh,Jd 7c Qs ,6d Jh Ks ,29.0,0.0,0.0,0.0,0.0,29.0,0.0,31.0,0.0,41.0,13.0,Jd mid Qs mid,1.968,Jh bot Ks mid,1.593
68,Kc mid Ks mid,2c top 7s mid,KdKh--AdAcAh,KdKh-KcKs-AdAcAh,KdKh2c-KcKs7s-AdAcAh,Kc 3h Ks ,2c 9h 7s ,23.0,33.0,29.0,29.0,33.0,23.0,29.0,23.0,23.0,29.0,27.0,Kc mid Ks mid,0.0,2c top 7s bot,26.047
69,9c mid Js bot,8d mid 5s top,KdKh--AdAcAh,KdKh-9c-AdAcAhJs,KdKh5s-9c8d-AdAcAhJs,9c Js Qs ,8d 4h 5s ,23.0,25.0,31.0,23.0,23.0,0.0,25.0,0.0,29.0,0.0,17.0,Js mid Qs mid,2.591333333333335,8d mid 5s mid,1.7216666666666667
70,2h mid 2s mid,8d mid 8h mid,KdKh--AdAcAh,KdKh-2h2s-AdAcAh,KdKh-2h2s8d8h-AdAcAh,7d 2h 2s ,8d 8h 6s ,23.0,23.0,64.0,29.0,23.0,23.0,23.0,33.0,29.0,23.0,29.0,2h mid 2s mid,0.0,8d mid 8h mid,0.0
71,8d mid 2h mid,Td mid Th mid,KdKh--AdAcAh,KdKh-8d2h-AdAcAh,KdKh-8d2hTdTh-AdAcAh,8d 2h Ks ,Td Kc Th ,23.0,31.0,31.0,23.0,0.0,23.0,29.0,23.0,33.0,33.0,24.0,8d mid 2h mid,0.0,Td mid Th mid,0.0
72,2s mid 4s mid,6s mid Ks mid,KdKh--AdAcAh,KdKh-2s4s-AdAcAh,KdKh-2s4s6sKs-AdAcAh,3h 2s 4s ,Jh 6s Ks ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,41.0,0.0,7.0,2s mid 4s mid,0.0,6s mid Ks mid,0.0
73,7h mid 7s mid,3d mid 3c mid,KdKh--AdAcAh,KdKh-7h7s-AdAcAh,KdKh-7h7s3d3c-AdAcAh,Qc 7h 7s ,3d 3c Js ,29.0,29.0,33.0,23.0,23.0,41.0,23.0,41.0,29.0,29.0,30.0,7h mid 7s mid,0.0,3d mid 3c mid,0.0
74,6h mid 6s mid,6c mid Jc mid,KdKh--AdAcAh,KdKh-6h6s-AdAcAh,KdKh-6h6s6cJc-AdAcAh,3d 6h 6s ,5c 6c Jc ,31.0,25.0,31.0,31.0,25.0,25.0,25.0,25.0,31.0,64.0,31.0,6h mid 6s mid,0.0,5c bot 6c mid,0.44166666666666643
75,8d mid 7h mid,3c top 7c mid,KdKh--AdAcAh,KdKh-8d7h-AdAcAh,KdKh3c-8d7h7c-AdAcAh,8d 7h Ts ,3c 7c Qs ,25.0,0.0,25.0,35.0,23.0,25.0,23.0,23.0,23.0,31.0,23.0,8d mid Ts mid,0.06333333333333258,3c mid 7c mid,0.8343333333333334
76,5d mid 5c mid,7h mid 9h top,KdKh--AdAcAh,KdKh-5d5c-AdAcAh,KdKh9h-5d5c7h-AdAcAh,5d 5c Th ,2c 7h 9h ,23.0,23.0,33.0,0.0,29.0,31.0,23.0,0.0,23.0,33.0,21.0,5d mid 5c mid,0.0,2c mid 9h mid,18.557333333333332
77,Jd mid 8s mid,8h mid 9h top,KdKh--AdAcAh,KdKh-Jd8s-AdAcAh,KdKh9h-Jd8s8h-AdAcAh,2d Jd 8s ,6d 8h 9h ,0.0,31.0,29.0,25.0,0.0,23.0,0.0,31.0,0.0,23.0,16.0,2d mid Jd mid,0.17999999999999972,6d mid 8h mid,0.3069999999999986
78,7d mid Jh mid,9c mid 9s mid,KdKh--AdAcAh,KdKh-7dJh-AdAcAh,KdKh-7dJh9c9s-AdAcAh,3d 7d Jh ,9c Kc 9s ,0.0,31.0,31.0,29.0,0.0,31.0,25.0,23.0,31.0,29.0,23.0,3d mid 7d mid,0.5533333333333328,9c mid 9s mid,0.0
79,Td mid 7s mid,9c mid 4s bot,KdKh--AdAcAh,KdKh-Td7s-AdAcAh,KdKh-Td7s9c-AdAcAh4s,Td Qh 7s ,9c Kc 4s ,23.0,0.0,33.0,33.0,0.0,0.0,0.0,25.0,0.0,25.0,13.0,Td mid 7s mid,0.0,9c mid 4s bot,0.0
80,4c mid Qc mid,8d bot 9d top,KdKh--AdAcAh,KdKh-4cQc-AdAcAh,KdKh9d-4cQc-AdAcAh8d,5d 4c Qc ,8d 9d 3s ,0.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,23.0,0.0,7.0,5d mid 4c mid,0.10200000000000031,8d bot 9d mid,9.250333333333334
