,Decision_0,Decision_1,Hand_0,Hand_1,Hand_2,Pull_0,Pull_1,solver_ev_0,solver_ev_1,solver_ev_2,solver_ev_3,solver_ev_4,solver_ev_5,solver_ev_6,solver_ev_7,solver_ev_8,solver_ev_9,solver_ev_avg,ResolvedDecision_0,ResolvedDecision_ev_0,ResolvedDecision_1,ResolvedDecision_ev_1
335,4d mid 6s mid,2c mid Ks bot,KdKh--AdAcAh,KdKh-4d6s-AdAcAh,KdKh-4d6s2c-AdAcAhKs,4d 3s 6s ,2c Qc Ks ,25.0,0.0,0.0,33.0,29.0,0.0,0.0,23.0,0.0,29.0,13.0,3s mid 6s mid,0.4553333333333338,2c mid Qc bot,0.5503333333333345
336,7h mid Ks mid,3d bot 4c bot,KdKh--AdAcAh,KdKh-7hKs-AdAcAh,KdKh-7hKs-AdAcAh3d4c,Jc 7h Ks ,3d 4c 5c ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,Jc mid 7h mid,2.9813333333333336,4c mid 5c bot,7.347666666666667
337,Qh mid 2s mid,Qd mid 8c bot,KdKh--AdAcAh,KdKh-Qh2s-AdAcAh,KdKh-Qh2sQd-AdAcAh8c,8h Qh 2s ,Qd 8c 6s ,23.0,25.0,0.0,23.0,23.0,33.0,25.0,25.0,29.0,23.0,22.0,8h mid Qh mid,0.06533333333333324,Qd mid 8c bot,0.0
338,7d mid 8s mid,2d bot Td mid,KdKh--AdAcAh,KdKh-7d8s-AdAcAh,KdKh-7d8sTd-AdAcAh2d,5d 7d 8s ,2d Td 5c ,23.0,0.0,0.0,0.0,23.0,0.0,23.0,33.0,23.0,33.0,15.0,5d mid 7d mid,0.16000000000000014,Td mid 5c bot,0.04933333333333323
339,7d mid 4s mid,Td mid Tc mid,KdKh--AdAcAh,KdKh-7d4s-AdAcAh,KdKh-7d4sTdTc-AdAcAh,2d 7d 4s ,Td Tc 2s ,31.0,29.0,0.0,0.0,31.0,25.0,23.0,23.0,0.0,35.0,19.0,2d mid 4s mid,0.0940000000000012,Td mid Tc mid,0.0
340,Tc mid Js mid,7c bot 8h mid,KdKh--AdAcAh,KdKh-TcJs-AdAcAh,KdKh-TcJs8h-AdAcAh7c,Tc 7s Js ,7c 8h 2s ,0.0,0.0,0.0,0.0,0.0,25.0,0.0,23.0,23.0,0.0,7.0,7s mid Js mid,0.618666666666666,8h mid 2s bot,9.84
341,Jc mid 5h mid,Qc top 9s bot,KdKh--AdAcAh,KdKh-Jc5h-AdAcAh,KdKhQc-Jc5h-AdAcAh9s,9c Jc 5h ,Qc 4s 9s ,0.0,0.0,0.0,0.0,23.0,33.0,0.0,25.0,0.0,0.0,8.0,9c mid Jc mid,1.3793333333333333,4s top 9s mid,9.454333333333333
342,8h mid Qh mid,Jc bot 8s mid,KdKh--AdAcAh,KdKh-8hQh-AdAcAh,KdKh-8hQh8s-AdAcAhJc,9d 8h Qh ,Jc 4h 8s ,23.0,23.0,23.0,25.0,23.0,23.0,31.0,29.0,23.0,0.0,22.0,9d mid 8h mid,0.052666666666667084,Jc bot 8s mid,0.0
343,Kc bot Ts mid,8h mid 2s bot,KdKh--AdAcAh,KdKh-Ts-AdAcAhKc,KdKh-Ts8h-AdAcAhKc2s,3c Kc Ts ,6c 8h 2s ,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,25.0,23.0,7.0,3c mid Ts mid,1.860666666666667,6c mid 8h mid,8.868333333333334
344,3h mid 5h mid,2d bot Qs top,KdKh--AdAcAh,KdKh-3h5h-AdAcAh,KdKhQs-3h5h-AdAcAh2d,9d 3h 5h ,2d Js Qs ,23.0,31.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,10.0,3h mid 5h mid,0.0,2d mid Js bot,1.3806666666666665
345,Jd mid Ts mid,Tc mid As bot,KdKh--AdAcAh,KdKh-JdTs-AdAcAh,KdKh-JdTsTc-AdAcAhAs,Jd Ts Ks ,Tc 8s As ,45.0,33.0,33.0,33.0,0.0,33.0,33.0,33.0,0.0,0.0,24.0,Jd mid Ts mid,0.0,Tc mid As bot,0.0
346,5d mid 3h mid,2c bot As bot,KdKh--AdAcAh,KdKh-5d3h-AdAcAh,KdKh-5d3h-AdAcAh2cAs,5d 3h Ks ,2c Ts As ,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,33.0,35.0,11.0,5d mid 3h mid,0.0,2c mid As bot,2.9833333333333343
347,5s mid 8s mid,Tc bot 8h mid,KdKh--AdAcAh,KdKh-5s8s-AdAcAh,KdKh-5s8s8h-AdAcAhTc,3c 5s 8s ,Tc 6h 8h ,25.0,25.0,29.0,23.0,0.0,23.0,29.0,23.0,35.0,35.0,24.0,5s mid 8s mid,0.0,6h mid 8h mid,0.1386666666666656
348,9c mid Th mid,Td mid 5s bot,KdKh--AdAcAh,KdKh-9cTh-AdAcAh,KdKh-9cThTd-AdAcAh5s,9c 4h Th ,Td 7h 5s ,0.0,0.0,23.0,23.0,23.0,23.0,23.0,29.0,25.0,23.0,19.0,9c mid Th mid,0.0,Td mid 7h mid,0.18466666666666498
349,Ts mid Js mid,7c bot 7h bot,KdKh--AdAcAh,KdKh-TsJs-AdAcAh,KdKh-TsJs-AdAcAh7c7h,7s Ts Js ,7c 7h Ks ,0.0,33.0,31.0,29.0,29.0,0.0,33.0,0.0,0.0,0.0,15.0,Ts mid Js mid,0.0,7c mid 7h mid,7.004333333333335
350,Js mid Ks mid,Td bot 8s mid,KdKh--AdAcAh,KdKh-JsKs-AdAcAh,KdKh-JsKs8s-AdAcAhTd,4h Js Ks ,9d Td 8s ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4h mid Js mid,1.8653333333333322,Td bot 8s mid,0.0
351,5h mid 9s mid,6d top 5c mid,KdKh--AdAcAh,KdKh-5h9s-AdAcAh,KdKh6d-5h9s5c-AdAcAh,5h 7s 9s ,6d 5c Kc ,25.0,35.0,25.0,23.0,33.0,29.0,23.0,25.0,23.0,29.0,27.0,7s mid 9s mid,0.9639999999999986,6d mid 5c mid,0.32833333333333314
352,8d mid 2h mid,8c mid Qs bot,KdKh--AdAcAh,KdKh-8d2h-AdAcAh,KdKh-8d2h8c-AdAcAhQs,8d 2h 9s ,8c Qh Qs ,23.0,23.0,25.0,23.0,23.0,33.0,23.0,0.0,0.0,31.0,20.0,8d mid 9s mid,0.4446666666666683,8c mid Qh top,0.0799999999999983
353,4h mid 8h mid,3h mid 3s mid,KdKh--AdAcAh,KdKh-4h8h-AdAcAh,KdKh-4h8h3h3s-AdAcAh,4h 7h 8h ,Kc 3h 3s ,33.0,23.0,29.0,29.0,33.0,25.0,0.0,25.0,0.0,29.0,22.0,7h mid 8h mid,0.6300000000000008,3h mid 3s mid,0.0
354,2d mid 3c bot,7s top 8s mid,KdKh--AdAcAh,KdKh-2d-AdAcAh3c,KdKh7s-2d8s-AdAcAh3c,2d 9d 3c ,4c 7s 8s ,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,29.0,0.0,7.0,2d mid 3c mid,2.6226666666666656,4c mid 7s mid,1.3613333333333335
355,Jd mid Js mid,Jc mid Kc mid,KdKh--AdAcAh,KdKh-JdJs-AdAcAh,KdKh-JdJsJcKc-AdAcAh,Jd 6c Js ,4d Jc Kc ,25.0,25.0,25.0,25.0,31.0,31.0,31.0,31.0,25.0,45.0,29.0,Jd mid Js mid,0.0,4d bot Jc mid,0.6920000000000002
